id_transaccion,fecha_venta,id_cliente,id_producto,id_tienda,cantidad,precio_unitario,descuento_pct,metodo_pago,canal_venta,estado_transaccion,moneda,costo_unitario,vendedor_id,origen_dato
V000000003,2024-05-21,C03940,P0324,T007,1,2375308.0,0.15,Transferencia,Marketplace,Completada,COP,1581400,VEN072,CRM
V000000011,2024-07-20,C00653,P0440,T055,1,631884.0,0.05,Efectivo,App movil,Completada,COP,427100,VEN092,ECOM
V000000015,2024-06-03,C02047,P0321,T060,1,771429.0,0.05,Transferencia,App movil,Completada,COP,462600,VEN166,CRM
V000000016,2024-11-03,C03513,P0095,T017,1,907183.0,0.0,Efectivo,Tienda fisica,Completada,COP,624600,VEN104,ECOM
V000000017,2024-12-22,C04297,P0465,T040,1,569536.0,0.1,Transferencia,Web,Completada,COP,360900,VEN035,CRM
V000000019,2024-02-05,C01480,P0097,T001,1,1552915.0,0.2,Transferencia,App movil,Completada,COP,1105400,VEN030,ECOM
V000000020,2024-12-20,C01782,P0133,T010,1,1234221.0,0.0,Tarjeta credito,Call center,Completada,COP,939900,VEN106,ECOM
V000000022,2024-11-15,C04684,P0271,T043,1,953785.0,0.1,Transferencia,Tienda fisica,Completada,COP,780000,VEN147,ECOM
V000000024,2024-07-22,C04431,P0231,T039,2,502511.0,0.08,Tarjeta credito,Call center,Completada,COP,338200,VEN157,ECOM
V000000028,2024-01-09,C02217,P0320,T010,1,876777.0,0.08,Efectivo,Web,Completada,COP,598800,VEN097,CRM
V000000029,2024-01-01,C02468,P0032,T032,1,2225476.0,0.03,Efectivo,Marketplace,Completada,COP,1442900,VEN097,CRM
V000000031,2024-10-15,C04590,P0115,T015,1,1384433.0,0.1,Billetera digital,App movil,Completada,COP,921500,VEN130,POS
V000000037,2024-11-23,C04498,P0047,T038,1,42896.0,0.0,Transferencia,App movil,Completada,COP,24800,VEN085,CRM
V000000039,2024-07-16,C04663,P0099,T004,1,2272842.0,0.03,Efectivo,Web,Completada,COP,1367700,VEN082,POS
V000000044,2024-05-17,C02291,P0037,T028,1,1442872.0,0.0,Efectivo,Marketplace,Completada,COP,1124100,VEN172,CRM
V000000045,2024-04-05,C02888,P0382,T041,1,680004.0,0.0,Transferencia,Marketplace,Completada,COP,512800,VEN176,CRM
V000000049,2024-08-22,C02477,P0421,T049,1,1030823.0,0.0,Efectivo,Marketplace,Completada,COP,755400,VEN120,ECOM
V000000052,2024-06-16,C03124,P0132,T016,1,1119266.0,0.0,Billetera digital,Marketplace,Completada,COP,567200,VEN071,POS
V000000053,2024-02-20,C04541,P0306,T053,3,262248.0,0.0,Transferencia,App movil,Completada,COP,177500,VEN160,ECOM
V000000056,2024-02-23,C04607,P0377,T054,1,1929143.0,0.0,Transferencia,Marketplace,Completada,COP,1240700,VEN029,CRM
V000000059,2024-12-23,C04801,P0429,T044,1,525327.0,0.05,Transferencia,App movil,Completada,COP,400200,VEN148,POS
V000000061,2024-09-18,C04167,P0310,T053,1,2172845.0,0.15,Billetera digital,Tienda fisica,Completada,COP,1172900,VEN138,CRM
V000000062,2024-06-28,C02734,P0396,T020,2,1180720.0,0.03,Tarjeta credito,Web,Completada,COP,785200,VEN174,CRM
V000000064,2024-07-16,C01919,P0269,T021,1,630894.0,0.0,Transferencia,Marketplace,Completada,COP,345500,VEN123,CRM
V000000081,2024-08-17,C03051,P0095,T052,1,961740.0,0.0,Tarjeta debito,Call center,Completada,COP,624600,VEN059,CRM
V000000082,2024-06-01,C04793,P0073,T009,1,103306.0,0.15,Tarjeta debito,Tienda fisica,Completada,COP,56600,VEN025,POS
V000000086,2024-02-22,C02504,P0450,T008,1,1733058.0,0.1,Transferencia,App movil,Completada,COP,1462700,VEN073,CRM
V000000092,2024-03-07,C03376,P0094,T053,1,208192.0,0.0,Efectivo,Marketplace,Completada,COP,123500,VEN101,ECOM
V000000093,2024-11-04,C04270,P0059,T055,1,1317247.0,0.15,Tarjeta debito,Tienda fisica,Completada,COP,810100,VEN053,CRM
V000000094,2024-03-21,C02465,P0363,T005,2,1540491.0,0.03,Billetera digital,Tienda fisica,Completada,COP,841400,VEN085,CRM
V000000095,2024-09-07,C03203,P0351,T035,1,1123924.0,0.0,Billetera digital,Web,Completada,COP,838300,VEN158,POS
V000000098,2024-03-02,C01319,P0122,T043,1,1809123.0,0.0,Efectivo,Web,Completada,COP,1273800,VEN169,CRM
V000000099,2024-08-16,C04235,P0257,T026,1,1240239.0,0.08,Transferencia,Marketplace,Completada,COP,646600,VEN174,POS
V000000101,2024-07-02,C01763,P0227,T044,1,30175.0,0.0,Billetera digital,Tienda fisica,Completada,COP,19500,VEN111,CRM
V000000102,2024-11-22,C03862,P0332,T051,1,2452809.0,0.03,Billetera digital,Web,Completada,COP,1568600,VEN113,POS
V000000103,2024-12-24,C01852,P0139,T021,1,2439279.0,0.05,Tarjeta credito,Web,Completada,COP,1777400,VEN057,POS
V000000104,2024-10-21,C04897,P0030,T051,1,597419.0,0.0,Tarjeta debito,Marketplace,Completada,COP,353400,VEN048,POS
V000000112,2024-08-06,C01292,P0238,T037,3,770662.0,0.0,Transferencia,Marketplace,Completada,COP,520200,VEN067,CRM
V000000114,2024-02-26,C03873,P0130,T059,1,2622966.0,0.2,Tarjeta debito,Marketplace,Completada,COP,1478000,VEN133,ECOM
V000000115,2024-07-03,C00784,P0294,T056,1,2237807.0,0.0,Tarjeta credito,Call center,Completada,COP,1710400,VEN180,ECOM
V000000117,2024-10-19,C01875,P0304,T008,1,2284043.0,0.05,Tarjeta debito,Marketplace,Completada,COP,1389000,VEN127,ECOM
V000000118,2024-02-22,C01092,P0025,T026,4,655159.0,0.1,Tarjeta debito,Web,Completada,COP,408200,VEN092,ECOM
V000000129,2024-07-25,C02931,P0328,T034,1,1953663.0,0.15,Tarjeta credito,Tienda fisica,Completada,COP,1250300,VEN176,CRM
V000000134,2024-06-08,C01775,P0308,T031,2,1316043.0,0.05,Billetera digital,Call center,Completada,COP,846000,VEN150,ECOM
V000000136,2024-04-14,C00871,P0026,T024,2,2148087.0,0.2,Transferencia,App movil,Completada,COP,1214000,VEN027,ECOM
V000000151,2024-11-06,C02468,P0459,T030,1,1677623.0,0.03,Transferencia,App movil,Completada,COP,1217900,VEN109,CRM
V000000164,2024-03-31,C00314,P0100,T006,1,1233930.0,0.03,Efectivo,Marketplace,Completada,COP,675600,VEN042,POS
V000000166,2024-10-05,C01595,P0288,T007,1,1525025.0,0.08,Tarjeta debito,App movil,Completada,COP,941400,VEN061,POS
V000000175,2024-09-28,C01300,P0113,T023,1,2273441.0,0.05,Tarjeta debito,App movil,Completada,COP,1426700,VEN007,CRM
V000000177,2024-01-21,C04716,P0395,T010,2,934790.0,0.0,Tarjeta credito,App movil,Completada,COP,612600,VEN112,CRM
V000000182,2024-06-21,C04047,P0472,T021,1,1804913.0,0.1,Tarjeta credito,Marketplace,Completada,COP,1236500,VEN172,CRM
V000000186,2024-07-17,C03797,P0362,T003,4,2408501.0,0.0,Tarjeta debito,Marketplace,Completada,COP,1691000,VEN087,CRM
V000000188,2024-08-04,C00329,P0134,T007,5,2125727.0,0.2,Billetera digital,Call center,Completada,COP,1514400,VEN013,POS
V000000191,2024-05-04,C03775,P0233,T009,1,334191.0,0.08,Billetera digital,Call center,Completada,COP,174700,VEN054,CRM
V000000192,2024-05-13,C01934,P0013,T038,2,42796.0,0.1,Efectivo,Web,Completada,COP,23100,VEN148,POS
V000000197,2024-08-19,C02037,P0095,T054,1,919700.0,0.0,Tarjeta credito,App movil,Completada,COP,624600,VEN006,CRM
V000000204,2024-09-09,C02120,P0318,T004,1,680688.0,0.0,Efectivo,Call center,Completada,COP,422100,VEN179,ECOM
V000000220,2024-07-02,C03697,P0491,T045,1,1688948.0,0.08,Transferencia,Call center,Completada,COP,1090500,VEN017,CRM
V000000222,2024-11-27,C01671,P0149,T011,1,2340620.0,0.0,Tarjeta credito,Tienda fisica,Completada,COP,1398000,VEN056,ECOM
V000000225,2024-02-29,C04778,P0329,T049,1,1128192.0,0.1,Tarjeta credito,Call center,Completada,COP,947300,VEN136,CRM
V000000227,2024-01-22,C04630,P0327,T024,2,1264229.0,0.2,Tarjeta credito,Web,Completada,COP,773100,VEN178,ECOM
V000000229,2024-03-01,C01008,P0348,T013,1,1436672.0,0.1,Billetera digital,Call center,Completada,COP,952000,VEN047,POS
V000000230,2024-10-25,C00946,P0418,T048,1,781673.0,0.0,Tarjeta credito,Tienda fisica,Completada,COP,586100,VEN116,POS
V000000231,2024-07-24,C04984,P0208,T050,1,528372.0,0.0,Transferencia,Tienda fisica,Completada,COP,337800,VEN095,ECOM
V000000241,2024-05-08,C02143,P0281,T006,1,1836636.0,0.1,Tarjeta debito,App movil,Completada,COP,1067600,VEN172,POS
V000000247,2024-12-05,C04394,P0243,T045,1,2400665.0,0.08,Billetera digital,Tienda fisica,Completada,COP,1884000,VEN030,POS
V000000249,2024-04-26,C02033,P0475,T028,1,2327618.0,0.15,Transferencia,Web,Completada,COP,1849100,VEN091,CRM
V000000260,2024-01-16,C04838,P0464,T011,1,709273.0,0.08,Tarjeta debito,Tienda fisica,Completada,COP,459700,VEN128,CRM
V000000262,2024-10-24,C04698,P0472,T005,2,2076290.0,0.08,Tarjeta credito,Tienda fisica,Completada,COP,1236500,VEN163,ECOM
V000000263,2024-07-27,C00147,P0095,T010,2,885228.0,0.08,Transferencia,Call center,Completada,COP,624600,VEN084,CRM
V000000279,2024-09-28,C04929,P0063,T060,1,306510.0,0.03,Tarjeta credito,Tienda fisica,Completada,COP,226800,VEN125,POS
V000000285,2024-12-12,C00492,P0465,T043,1,514485.0,0.03,Tarjeta debito,Marketplace,Completada,COP,360900,VEN098,ECOM
V000000289,2024-11-12,C02131,P0357,T034,1,1761699.0,0.08,Tarjeta debito,Web,Completada,COP,1290500,VEN021,CRM
V000000290,2024-05-09,C01712,P0479,T015,1,829976.0,0.0,Billetera digital,Tienda fisica,Completada,COP,653500,VEN157,POS
V000000291,2024-04-13,C01149,P0257,T013,1,1210804.0,0.05,Transferencia,Web,Completada,COP,646600,VEN076,ECOM
V000000296,2024-04-11,C00843,P0289,T041,1,911960.0,0.08,Tarjeta credito,Tienda fisica,Completada,COP,566300,VEN109,ECOM
V000000306,2024-01-28,C01182,P0096,T031,1,1740608.0,0.1,Transferencia,Call center,Completada,COP,1043400,VEN153,CRM
V000000307,2024-09-14,C04245,P0380,T045,1,2008628.0,0.1,Tarjeta debito,Marketplace,Completada,COP,1304000,VEN175,ECOM
V000000310,2024-05-27,C02801,P0338,T044,1,1653676.0,0.0,Billetera digital,Marketplace,Completada,COP,1226500,VEN047,ECOM
V000000316,2024-01-14,C01057,P0317,T004,3,1272111.0,0.03,Transferencia,Call center,Completada,COP,698200,VEN089,ECOM
