id_transaccion,fecha_venta,id_cliente,id_producto,id_tienda,cantidad,precio_unitario,descuento_pct,metodo_pago,canal_venta,estado_transaccion,moneda,costo_unitario,vendedor_id,origen_dato
V000000001,2025-04-29,C00872,P0493,T019,1,1158834.0,0.05,Efectivo,Call center,Completada,COP,742400,VEN162,CRM
V000000005,2025-04-12,C04091,P0346,T054,1,1166896.0,0.15,Efectivo,Tienda fisica,Completada,COP,626300,VEN023,POS
V000000006,2025-11-26,C03027,P0077,T020,1,2453626.0,0.0,Billetera digital,Call center,Completada,COP,1441400,VEN174,POS
V000000007,2025-04-25,C00327,P0127,T013,1,403615.0,0.08,Tarjeta debito,App movil,Completada,COP,210900,VEN006,CRM
V000000009,2025-10-22,C02094,P0184,T058,1,2022601.0,0.05,Tarjeta debito,Marketplace,Completada,COP,1386500,VEN085,ECOM
V000000010,2025-10-06,C01042,P0283,T036,1,2216261.0,0.0,Tarjeta debito,Call center,Completada,COP,1517000,VEN034,ECOM
V000000012,2025-05-09,C04523,P0373,T058,2,562745.0,0.1,Tarjeta debito,Web,Completada,COP,417300,VEN144,CRM
V000000013,2025-10-09,C01737,P0200,T051,2,1556738.0,0.0,Transferencia,App movil,Completada,COP,796300,VEN175,CRM
V000000014,2025-11-28,C02366,P0292,T030,1,1266443.0,0.03,Transferencia,Marketplace,Completada,COP,800300,VEN055,ECOM
V000000018,2025-12-29,C00075,P0135,T043,2,1954963.0,0.2,Efectivo,Call center,Completada,COP,1270900,VEN098,POS
V000000021,2025-08-19,C03480,P0084,T020,2,1903586.0,0.2,Tarjeta debito,Tienda fisica,Completada,COP,1377100,VEN072,ECOM
V000000025,2025-02-21,C04548,P0236,T019,1,1631288.0,0.03,Efectivo,Web,Completada,COP,851900,VEN124,ECOM
V000000030,2025-03-06,C01946,P0446,T040,1,1656924.0,0.0,Tarjeta credito,App movil,Completada,COP,839000,VEN108,CRM
V000000035,2025-07-11,C01138,P0165,T058,1,1247301.0,0.2,Billetera digital,App movil,Completada,COP,903900,VEN172,POS
V000000036,2025-07-29,C01543,P0365,T018,1,1741035.0,0.0,Tarjeta credito,Marketplace,Completada,COP,961300,VEN051,POS
V000000038,2025-05-16,C03060,P0336,T044,1,717754.0,0.1,Billetera digital,App movil,Completada,COP,575600,VEN134,POS
V000000043,2025-01-23,C04805,P0145,T018,1,1134206.0,0.03,Billetera digital,App movil,Completada,COP,815800,VEN037,ECOM
V000000046,2025-09-29,C03595,P0085,T050,1,301420.0,0.03,Tarjeta debito,Web,Completada,COP,240000,VEN177,POS
V000000047,2025-01-12,C02740,P0332,T059,1,2453743.0,0.2,Transferencia,Marketplace,Completada,COP,1568600,VEN146,POS
V000000048,2025-01-09,C01260,P0203,T019,1,1025636.0,0.2,Billetera digital,Web,Completada,COP,772000,VEN032,ECOM
V000000054,2025-11-24,C04919,P0064,T047,1,2464708.0,0.2,Tarjeta debito,Web,Completada,COP,1523300,VEN004,CRM
V000000057,2025-12-07,C02005,P0046,T047,1,1517647.0,0.1,Transferencia,App movil,Completada,COP,793200,VEN059,POS
V000000063,2025-06-22,C03016,P0414,T005,1,1829699.0,0.15,Billetera digital,Call center,Completada,COP,1205800,VEN003,CRM
V000000067,2025-03-07,C03647,P0053,T041,1,760307.0,0.0,Transferencia,App movil,Completada,COP,496400,VEN146,CRM
V000000073,2025-10-03,C03783,P0109,T057,1,848034.0,0.2,Tarjeta debito,App movil,Completada,COP,459600,VEN107,CRM
V000000076,2025-03-11,C01160,P0419,T022,3,676047.0,0.0,Billetera digital,Marketplace,Completada,COP,520600,VEN023,POS
V000000077,2025-12-28,C01630,P0022,T049,1,1889314.0,0.15,Tarjeta debito,Marketplace,Completada,COP,1334700,VEN041,ECOM
V000000078,2025-07-25,C03252,P0495,T056,3,1781109.0,0.05,Tarjeta debito,Call center,Completada,COP,1347700,VEN112,CRM
V000000087,2025-01-22,C01227,P0407,T047,1,967091.0,0.08,Tarjeta credito,App movil,Completada,COP,623300,VEN083,POS
V000000088,2025-09-28,C02350,P0452,T020,2,811433.0,0.15,Tarjeta debito,Call center,Completada,COP,556100,VEN133,CRM
